,aaid,Country,City,District,Ward
72,4100000,Algeria,Bordj Bou Arréridj,,
73,4110000,Algeria,Bouira,,
74,4120000,Algeria,Boumerdès,,
75,4130000,Algeria,Chlef,,
76,4140000,Algeria,Constantine,,
77,4150000,Algeria,Djelfa,,
78,4160000,Algeria,El Bayadh,,
79,4170000,Algeria,El Oued,,
80,4180000,Algeria,El Tarf,,
81,4190000,Algeria,Ghardaïa,,
82,4200000,Algeria,Guelma,,
83,4210000,Algeria,Illizi,,
84,4220000,Algeria,Jijel,,
85,4230000,Algeria,Khenchela,,
86,4240000,Algeria,Laghouat,,
87,4260000,Algeria,Mascara,,
88,4270000,Algeria,Médéa,,
89,4280000,Algeria,Mila,,
90,4290000,Algeria,Mostaganem,,
91,4300000,Algeria,Naâma,,
92,4310000,Algeria,Oran,,
93,4320000,Algeria,Ouargla,,
94,4330000,Algeria,Oum el Bouaghi,,
95,4340000,Algeria,Relizane,,
96,4350000,Algeria,Saïda,,
97,4360000,Algeria,Sétif,,
98,4370000,Algeria,Sidi Bel Abbès,,
99,4380000,Algeria,Skikda,,
100,4390000,Algeria,Souk Ahras,,
101,4400000,Algeria,Tamanghasset,,
102,4410000,Algeria,Tébessa,,
103,4420000,Algeria,Tiaret,,
104,4430000,Algeria,Tindouf,,
105,4440000,Algeria,Tipaza,,
106,4450000,Algeria,Tissemsilt,,
107,4460000,Algeria,Tizi Ouzou,,
108,4470000,Algeria,Tlemcen,,
109,5000000,American Samoa,Eastern,,
110,5020000,American Samoa,Unorganized,,
111,5030000,American Samoa,Western,,
112,6000000,Andorra,Andorra la Vella,,
113,6010000,Andorra,Canillo,,
114,6020000,Andorra,Encamp,,
115,6030000,Andorra,Escaldes-Engordany,,
116,6040000,Andorra,La Massana,,
117,6050000,Andorra,Ordino,,
118,6060000,Andorra,Sant Julià de Lòria,,
119,7000000,Angola,Bengo,,
120,7010000,Angola,Benguela,,
121,7020000,Angola,Bié,,
122,7030000,Angola,Cabinda,,
123,7040000,Angola,Cuando Cubango,,
124,7050000,Angola,Cuanza Norte,,
125,7060000,Angola,Cuanza Sul,,
126,7070000,Angola,Cunene,,
127,7080000,Angola,Huambo,,
128,7090000,Angola,Huíla,,
129,7100000,Angola,Luanda,,
130,7110000,Angola,Lunda Norte,,
131,7120000,Angola,Lunda Sul,,
132,7130000,Angola,Malanje,,
133,7140000,Angola,Moxico,,
134,7150000,Angola,Namibe,,
135,7160000,Angola,Uíge,,
136,7170000,Angola,Zaire,,
137,10000000,Antigua and Barbuda,Barbuda,,
138,10010000,Antigua and Barbuda,Redonda,,
139,10020000,Antigua and Barbuda,Saint George,,
140,10030000,Antigua and Barbuda,Saint John,,
141,10040000,Antigua and Barbuda,Saint Mary,,
142,10050000,Antigua and Barbuda,Saint Paul,,
143,10060000,Antigua and Barbuda,Saint Peter,,
144,10070000,Antigua and Barbuda,Saint Philip,,
145,11000000,Argentina,Buenos Aires,,
146,11010000,Argentina,Catamarca,,
147,11020000,Argentina,Chaco,,
148,11030000,Argentina,Chubut,,
149,11050000,Argentina,Córdoba,,
150,11060000,Argentina,Corrientes,,
151,11070000,Argentina,Entre Ríos,,
152,11080000,Argentina,Formosa,,
153,11090000,Argentina,Jujuy,,
154,11100000,Argentina,La Pampa,,
155,11110000,Argentina,La Rioja,,
156,11120000,Argentina,Mendoza,,
157,11130000,Argentina,Misiones,,
158,11140000,Argentina,Neuquén,,
159,11150000,Argentina,Río Negro,,
160,11160000,Argentina,Salta,,
161,11170000,Argentina,San Juan,,
162,11180000,Argentina,San Luis,,
163,11190000,Argentina,Santa Cruz,,
164,11200000,Argentina,Santa Fe,,
165,11210000,Argentina,Santiago del Estero,,
166,11220000,Argentina,Tierra del Fuego,,
167,11230000,Argentina,Tucumán,,
168,12000000,Armenia,Aragatsotn,,
169,12010000,Armenia,Ararat,,
170,12020000,Armenia,Armavir,,
171,12030000,Armenia,Erevan,,
172,12040000,Armenia,Gegharkunik,,
173,12050000,Armenia,Kotayk,,
174,12060000,Armenia,Lori,,
175,12070000,Armenia,Shirak,,
176,12080000,Armenia,Syunik,,
177,12090000,Armenia,Tavush,,
178,12100000,Armenia,Vayots Dzor,,
179,14000000,Australia,Ashmore and Cartier Islands,,
180,14010000,Australia,Australian Capital Territory,,
181,14020000,Australia,Coral Sea Islands Territory,,
182,14030000,Australia,Jervis Bay Territory,,
183,14040000,Australia,New South Wales,,
184,14050000,Australia,Northern Territory,,
185,14060000,Australia,Queensland,,
186,14070000,Australia,South Australia,,
187,14080000,Australia,Tasmania,,
188,14090000,Australia,Victoria,,
189,14100000,Australia,Western Australia,,
190,15000000,Austria,Burgenland,,
191,15010000,Austria,Kärnten,,
192,15020000,Austria,Niederösterreich,,
193,15030000,Austria,Oberösterreich,,
194,15040000,Austria,Salzburg,,
195,15050000,Austria,Steiermark,,
196,15060000,Austria,Tirol,,
197,15070000,Austria,Vorarlberg,,
198,15080000,Austria,Wien,,
199,16000000,Azerbaijan,Absheron,,
200,16010000,Azerbaijan,Aran,,
201,16020000,Azerbaijan,Daglig-Shirvan,,
202,16030000,Azerbaijan,Ganja-Qazakh,,
203,16040000,Azerbaijan,Kalbajar-Lachin,,
204,16050000,Azerbaijan,Lankaran,,
205,16060000,Azerbaijan,Nakhchivan,,
206,16070000,Azerbaijan,Quba-Khachmaz,,
207,16080000,Azerbaijan,Shaki-Zaqatala,,
208,16090000,Azerbaijan,Yukhari-Karabakh,,
209,17000000,Bahamas,Acklins,,
210,17010000,Bahamas,Berry Islands,,
211,17020000,Bahamas,Biminis,,
212,17030000,Bahamas,Black Point,,
213,17040000,Bahamas,Cat Island,,
214,17050000,Bahamas,Central Abaco,,
215,17060000,Bahamas,Central Andros,,
216,17070000,Bahamas,Central Eleuthera,,
217,17080000,Bahamas,City of Freeport,,
218,17090000,Bahamas,Crooked Island,,
219,17100000,Bahamas,East Grand Bahama,,
220,17110000,Bahamas,Exuma,,
221,17120000,Bahamas,Grand Cay,,
222,17130000,Bahamas,Harbour Island,,
223,17140000,Bahamas,Hope Town,,
224,17150000,Bahamas,Inagua,,
225,17160000,Bahamas,Long Island,,
226,17170000,Bahamas,Mangrove Cay,,
227,17180000,Bahamas,Mayaguana,,
228,17200000,Bahamas,New Providence,,
229,17210000,Bahamas,North Abaco,,
230,17220000,Bahamas,North Andros,,
231,17230000,Bahamas,North Eleuthera,,
232,17240000,Bahamas,Ragged Island,,
233,17250000,Bahamas,Rum Cay,,
234,17260000,Bahamas,San Salvador,,
235,17270000,Bahamas,South Abaco,,
236,17280000,Bahamas,South Andros,,
237,17290000,Bahamas,South Eleuthera,,
238,17300000,Bahamas,Spanish Wells,,
239,17310000,Bahamas,West Grand Bahama,,
240,18000000,Bahrain,Capital,,
241,18010000,Bahrain,Central,,
242,18020000,Bahrain,Muharraq,,
243,18030000,Bahrain,Northern,,
244,18040000,Bahrain,Southern,,
245,19000000,Bangladesh,Barisal,,
246,19010000,Bangladesh,Chittagong,,
247,19020000,Bangladesh,Dhaka,,
248,19030000,Bangladesh,Khulna,,
249,19040000,Bangladesh,Rajshahi,,
250,19050000,Bangladesh,Rangpur,,
251,19060000,Bangladesh,Sylhet,,
252,20000000,Barbados,Christ Church,,
253,20010000,Barbados,Saint Andrew,,
254,20020000,Barbados,Saint George,,
255,20030000,Barbados,Saint James,,
256,20040000,Barbados,Saint John,,
257,20050000,Barbados,Saint Joseph,,
258,20060000,Barbados,Saint Lucy,,
259,20070000,Barbados,Saint Michael,,
260,20080000,Barbados,Saint Peter,,
261,20090000,Barbados,Saint Philip,,
262,20100000,Barbados,Saint Thomas,,
263,21000000,Belarus,Brest,,
264,21010000,Belarus,Homyel',,
265,21020000,Belarus,Hrodna,,
266,21030000,Belarus,Mahilyow,,
267,21040000,Belarus,Minsk,,
268,21050000,Belarus,Vitsyebsk,,
269,22000000,Belgium,Bruxelles,,
270,22010000,Belgium,Vlaanderen,,
271,22020000,Belgium,Wallonie,,
272,23000000,Belize,Belize,,
273,23010000,Belize,Cayo,,
274,23020000,Belize,Corozal,,
275,23030000,Belize,Orange Walk,,
276,23040000,Belize,Stann Creek,,
277,23050000,Belize,Toledo,,
278,24000000,Benin,Alibori,,
279,24010000,Benin,Atakora,,
280,24020000,Benin,Atlantique,,
281,24030000,Benin,Borgou,,
282,24040000,Benin,Collines,,
283,24050000,Benin,Donga,,
284,24060000,Benin,Kouffo,,
285,24070000,Benin,Littoral,,
286,24080000,Benin,Mono,,
287,24090000,Benin,Ouémé,,
288,24100000,Benin,Plateau,,
289,24110000,Benin,Zou,,
290,25000000,Bermuda,Devonshire,,
291,25010000,Bermuda,Hamilton Municipality,,
292,25030000,Bermuda,Paget,,
293,25040000,Bermuda,Pembroke,,
294,25060000,Bermuda,Saint George municipality,,
295,25070000,Bermuda,Sandys,,
296,25080000,Bermuda,Smiths,,
297,25090000,Bermuda,Southampton,,
298,25100000,Bermuda,Warwick,,
299,26000000,Bhutan,Bumthang,,
300,26010000,Bhutan,Chhukha,,
301,26020000,Bhutan,Dagana,,
302,26030000,Bhutan,Gasa,,
303,26040000,Bhutan,Haa,,
304,26050000,Bhutan,Lhuentse,,
305,26060000,Bhutan,Monggar,,
306,26070000,Bhutan,Paro,,
307,26080000,Bhutan,Pemagatshel,,
308,26090000,Bhutan,Punakha,,
309,26100000,Bhutan,Samdrupjongkhar,,
310,26110000,Bhutan,Samtse,,
311,26120000,Bhutan,Sarpang,,
312,26130000,Bhutan,Thimphu,,
313,26140000,Bhutan,Trashigang,,
314,26150000,Bhutan,Trongsa,,
315,26160000,Bhutan,Tsirang,,
316,26170000,Bhutan,Wangduephodrang,,
317,26180000,Bhutan,Yangtse,,
318,26190000,Bhutan,Zhemgang,,
319,27000000,Bolivia,Chuquisaca,,
320,27010000,Bolivia,Cochabamba,,
321,27020000,Bolivia,El Beni,,
322,27030000,Bolivia,La Paz,,
323,27040000,Bolivia,Oruro,,
324,27050000,Bolivia,Pando,,
325,27060000,Bolivia,Potosí,,
326,27070000,Bolivia,Santa Cruz,,
327,27080000,Bolivia,Tarija,,
328,28000000,Bosnia and Herzegovina,Brčko,,
329,28010000,Bosnia and Herzegovina,Federacija Bosna i Hercegovina,,
330,28020000,Bosnia and Herzegovina,Repuplika Srpska,,
331,29000000,Botswana,Central,,
332,29010000,Botswana,Chobe,,
333,29020000,Botswana,Francistown,,
334,29030000,Botswana,Gaborone,,
335,29040000,Botswana,Ghanzi,,
336,29050000,Botswana,Jwaneng,,
337,29060000,Botswana,Kgalagadi,,
338,29070000,Botswana,Kgatleng,,
339,29080000,Botswana,Kweneng,,
340,29090000,Botswana,Lobatse,,
341,29100000,Botswana,North-East,,
342,29110000,Botswana,North-West,,
343,29120000,Botswana,Selibe Phikwe,,
344,29130000,Botswana,South-East,,
345,29140000,Botswana,Southern,,
346,29150000,Botswana,Sowa,,
347,31000000,Brazil,Acre,,
348,31010000,Brazil,Alagoas,,
349,31020000,Brazil,Amapá,,
350,31030000,Brazil,Amazonas,,
351,31040000,Brazil,Bahia,,
352,31050000,Brazil,Ceará,,
353,31060000,Brazil,Distrito Federal,,
354,31070000,Brazil,Espírito Santo,,
355,31080000,Brazil,Goiás,,
356,31090000,Brazil,Maranhão,,
357,31100000,Brazil,Mato Grosso,,
358,31120000,Brazil,Minas Gerais,,
359,31130000,Brazil,Pará,,
360,31140000,Brazil,Paraíba,,
361,31150000,Brazil,Paraná,,
362,31160000,Brazil,Pernambuco,,
363,31170000,Brazil,Piauí,,
364,31180000,Brazil,Rio de Janeiro,,
365,31190000,Brazil,Rio Grande do Norte,,
366,31200000,Brazil,Rio Grande do Sul,,
367,31210000,Brazil,Rondônia,,
368,31220000,Brazil,Roraima,,
369,31230000,Brazil,Santa Catarina,,
370,31240000,Brazil,São Paulo,,
371,31250000,Brazil,Sergipe,,
372,31260000,Brazil,Tocantins,,
373,33000000,British Virgin Islands,Anegada,,
374,33010000,British Virgin Islands,Jost Van Dyke,,
375,33020000,British Virgin Islands,Other Islands,,
376,33030000,British Virgin Islands,Tortola,,
377,33040000,British Virgin Islands,Virgin Gorda,,
378,34000000,Brunei,Belait,,
379,34010000,Brunei,Brunei and Muara,,
380,34020000,Brunei,Temburong,,
381,34030000,Brunei,Tutong,,
382,35000000,Bulgaria,Blagoevgrad,,
383,35010000,Bulgaria,Burgas,,
384,35020000,Bulgaria,Dobrich,,
385,35030000,Bulgaria,Gabrovo,,
386,35040000,Bulgaria,Grad Sofiya,,
387,35050000,Bulgaria,Haskovo,,
388,35060000,Bulgaria,Kardzhali,,
389,35070000,Bulgaria,Kyustendil,,
390,35080000,Bulgaria,Lovech,,
391,35090000,Bulgaria,Montana,,
392,35100000,Bulgaria,Pazardzhik,,
393,35110000,Bulgaria,Pernik,,
394,35120000,Bulgaria,Pleven,,
395,35130000,Bulgaria,Plovdiv,,
396,35140000,Bulgaria,Razgrad,,
397,35150000,Bulgaria,Ruse,,
398,35160000,Bulgaria,Shumen,,
399,35170000,Bulgaria,Silistra,,
400,35180000,Bulgaria,Sliven,,
401,35190000,Bulgaria,Smolyan,,
402,35200000,Bulgaria,Sofia,,
403,35210000,Bulgaria,Stara Zagora,,
404,35220000,Bulgaria,Targovishte,,
405,35230000,Bulgaria,Varna,,
406,35240000,Bulgaria,Veliko Tarnovo,,
407,35250000,Bulgaria,Vidin,,
408,35260000,Bulgaria,Vratsa,,
409,35270000,Bulgaria,Yambol,,
410,36000000,Burkina Faso,Boucle du Mouhoun,,
411,36010000,Burkina Faso,Cascades,,
412,36020000,Burkina Faso,Centre,,
413,36070000,Burkina Faso,Est,,
414,36080000,Burkina Faso,Haut-Bassins,,
415,36090000,Burkina Faso,Nord,,
416,36100000,Burkina Faso,Plateau-Central,,
417,36110000,Burkina Faso,Sahel,,
418,36120000,Burkina Faso,Sud-Ouest,,
419,37000000,Burundi,Bubanza,,
420,37010000,Burundi,Bujumbura Mairie,,
421,37020000,Burundi,Bujumbura Rural,,
422,37030000,Burundi,Bururi,,
423,37040000,Burundi,Cankuzo,,
424,37050000,Burundi,Cibitoke,,
425,37060000,Burundi,Gitega,,
426,37070000,Burundi,Karuzi,,
427,37080000,Burundi,Kayanza,,
428,37090000,Burundi,Kirundo,,
429,37100000,Burundi,Makamba,,
430,37110000,Burundi,Muramvya,,
431,37120000,Burundi,Muyinga,,
432,37130000,Burundi,Mwaro,,
433,37140000,Burundi,Ngozi,,
434,37150000,Burundi,Rutana,,
435,37160000,Burundi,Ruyigi,,
436,38000000,Cambodia,Bântéay Méanchey,,
437,38010000,Cambodia,Batdâmbâng,,
438,38020000,Cambodia,Kâmpóng Cham,,
439,38030000,Cambodia,Kâmpóng Chhnang,,
440,38040000,Cambodia,Kâmpóng Spœ,,
441,38050000,Cambodia,Kâmpóng Thum,,
442,38060000,Cambodia,Kâmpôt,,
443,38070000,Cambodia,Kândal,,
444,38080000,Cambodia,Kaôh Kong,,
445,38090000,Cambodia,Kep,,
446,38100000,Cambodia,Krâchéh,,
447,38110000,Cambodia,Krong Pailin,,
448,38120000,Cambodia,Krong Preah Sihanouk,,
449,38130000,Cambodia,Môndól Kiri,,
450,38140000,Cambodia,Otdar Mean Chey,,
451,38150000,Cambodia,Phnom Penh,,
452,38160000,Cambodia,Pouthisat,,
453,38170000,Cambodia,Preah Vihéar,,
454,38180000,Cambodia,Prey Vêng,,
455,38190000,Cambodia,Rôtânôkiri,,
456,38200000,Cambodia,Siemréab,,
457,38210000,Cambodia,Stœng Trêng,,
458,38220000,Cambodia,Svay Rieng,,
459,38230000,Cambodia,Takêv,,
460,38240000,Cambodia,Tbong Khmum,,
461,39000000,Cameroon,Adamaoua,,
462,39010000,Cameroon,Centre,,
463,39020000,Cameroon,Est,,
464,39030000,Cameroon,Extrême-Nord,,
465,39040000,Cameroon,Littoral,,
466,39050000,Cameroon,Nord,,
467,39070000,Cameroon,Ouest,,
468,39080000,Cameroon,Sud,,
469,40000000,Canada,Alberta,,
470,40010000,Canada,British Columbia,,
471,40020000,Canada,Manitoba,,
472,40030000,Canada,New Brunswick,,
473,40040000,Canada,Newfoundland and Labrador,,
474,40050000,Canada,Northwest Territories,,
475,40060000,Canada,Nova Scotia,,
476,40070000,Canada,Nunavut,,
477,40080000,Canada,Ontario,,
478,40090000,Canada,Prince Edward Island,,
479,40100000,Canada,Québec,,
480,40110000,Canada,Saskatchewan,,
481,40120000,Canada,Yukon,,
482,41000000,Cape Verde,Boa Vista,,
483,41010000,Cape Verde,Brava,,
484,41020000,Cape Verde,Maio,,
485,41030000,Cape Verde,Mosteiros,,
486,41040000,Cape Verde,Paúl,,
487,41050000,Cape Verde,Porto Novo,,
488,41060000,Cape Verde,Praia,,
489,41080000,Cape Verde,Ribeira Grande,,
490,41100000,Cape Verde,Sal,,
491,41110000,Cape Verde,Santa Catarina,,
492,41130000,Cape Verde,Santa Cruz,,
493,41140000,Cape Verde,São Domingos,,
494,41150000,Cape Verde,São Filipe,,
495,41160000,Cape Verde,São Lourenço dos Órgãos,,
496,41170000,Cape Verde,São Miguel,,
497,41190000,Cape Verde,São Vicente,,
498,41200000,Cape Verde,Tarrafal,,
499,42000000,Cayman Islands,Bodden Town,,
500,42010000,Cayman Islands,Cayman Brac,,
501,42020000,Cayman Islands,East End,,
502,42030000,Cayman Islands,George Town,,
503,42040000,Cayman Islands,Little Cayman,,
504,42050000,Cayman Islands,North Side,,
505,42060000,Cayman Islands,West Bay,,
506,43000000,Central African Republic,Bamingui-Bangoran,,
507,43010000,Central African Republic,Bangui,,
508,43020000,Central African Republic,Basse-Kotto,,
509,43030000,Central African Republic,Haut-Mbomou,,
510,43040000,Central African Republic,Haute-Kotto,,
511,43050000,Central African Republic,Kémo,,
512,43060000,Central African Republic,Lobaye,,
513,43070000,Central African Republic,Mambéré-Kadéï,,
514,43080000,Central African Republic,Mbomou,,
515,43090000,Central African Republic,Nana-Grébizi,,
516,43100000,Central African Republic,Nana-Mambéré,,
517,43120000,Central African Republic,Ouaka,,
518,43130000,Central African Republic,Ouham,,
519,43150000,Central African Republic,Sangha-Mbaéré,,
520,43160000,Central African Republic,Vakaga,,
521,44000000,Chad,Barh el Ghazel,,
522,44010000,Chad,Batha,,
523,44020000,Chad,Borkou,,
524,44030000,Chad,Chari-Baguirmi,,
525,44040000,Chad,Ennedi Est,,
526,44050000,Chad,Ennedi Ouest,,
527,44060000,Chad,Guéra,,
528,44070000,Chad,Hadjer-Lamis,,
529,44080000,Chad,Kanem,,
530,44090000,Chad,Lac,,
531,44100000,Chad,Logone Occidental,,
532,44110000,Chad,Logone Oriental,,
533,44120000,Chad,Mandoul,,
534,44130000,Chad,Mayo-Kebbi Est,,
535,44140000,Chad,Mayo-Kebbi Ouest,,
536,44150000,Chad,Moyen-Chari,,
537,44160000,Chad,Ouaddaï,,
538,44170000,Chad,Salamat,,
539,44180000,Chad,Sila,,
540,44190000,Chad,Tandjilé,,
541,44200000,Chad,Tibesti,,
542,44220000,Chad,Wadi Fira,,
543,45000000,Chile,Aisén del General Carlos Ibáñez del Campo,,
544,45010000,Chile,Antofagasta,,
545,45020000,Chile,Araucanía,,
546,45030000,Chile,Arica y Parinacota,,
547,45040000,Chile,Atacama,,
548,45050000,Chile,Bío-Bío,,
549,45060000,Chile,Coquimbo,,
550,45080000,Chile,Los Lagos,,
551,45090000,Chile,Los Ríos,,
552,45100000,Chile,Magallanes y Antártica Chilena,,
553,45110000,Chile,Maule,,
554,45120000,Chile,Ñuble,,
555,45130000,Chile,Región Metropolitana de Santiago,,
556,45140000,Chile,Tarapacá,,
557,45150000,Chile,Valparaíso,,
558,46000000,China,Anhui,,
559,46010000,China,Beijing,,
560,46020000,China,Chongqing,,
561,46030000,China,Fujian,,
562,46040000,China,Gansu,,
563,46050000,China,Guangdong,,
564,46060000,China,Guangxi,,
565,46070000,China,Guizhou,,
566,46080000,China,Hainan,,
567,46090000,China,Hebei,,
568,46100000,China,Heilongjiang,,
569,46110000,China,Henan,,
570,46120000,China,Hubei,,
571,46130000,China,Hunan,,
572,46140000,China,Jiangsu,,
573,46150000,China,Jiangxi,,
574,46160000,China,Jilin,,
575,46170000,China,Liaoning,,
576,46180000,China,Nei Mongol,,
577,46190000,China,Ningxia Hui,,
578,46200000,China,Qinghai,,
579,46210000,China,Shaanxi,,
580,46220000,China,Shandong,,
581,46230000,China,Shanghai,,
582,46240000,China,Shanxi,,
583,46250000,China,Sichuan,,
584,46260000,China,Tianjin,,
585,46270000,China,Xinjiang Uygur,,
586,46280000,China,Xizang,,
587,46290000,China,Yunnan,,
588,46300000,China,Zhejiang,,
589,49000000,Colombia,Amazonas,,
590,49010000,Colombia,Antioquia,,
591,49020000,Colombia,Arauca,,
592,49030000,Colombia,Atlántico,,
593,49040000,Colombia,Bolívar,,
594,49050000,Colombia,Boyacá,,
595,49060000,Colombia,Caldas,,
596,49070000,Colombia,Caquetá,,
597,49080000,Colombia,Casanare,,
598,49090000,Colombia,Cauca,,
599,49100000,Colombia,Cesar,,
600,49110000,Colombia,Chocó,,
601,49120000,Colombia,Córdoba,,
602,49130000,Colombia,Cundinamarca,,
603,49140000,Colombia,Guainía,,
604,49150000,Colombia,Guaviare,,
605,49160000,Colombia,Huila,,
606,49170000,Colombia,La Guajira,,
607,49180000,Colombia,Magdalena,,
608,49190000,Colombia,Meta,,
609,49200000,Colombia,Nariño,,
610,49210000,Colombia,Norte de Santander,,
611,49220000,Colombia,Putumayo,,
612,49230000,Colombia,Quindío,,
613,49240000,Colombia,Risaralda,,
614,49250000,Colombia,San Andrés y Providencia,,
615,49260000,Colombia,Santander,,
616,49270000,Colombia,Sucre,,
617,49280000,Colombia,Tolima,,
618,49300000,Colombia,Vaupés,,
619,49310000,Colombia,Vichada,,
620,50000000,Comoros,Mwali,,
621,50010000,Comoros,Njazídja,,
622,50020000,Comoros,Nzwani,,
623,51000000,Republic of Congo,Bouenza,,
624,51010000,Republic of Congo,Brazzaville,,
625,51020000,Republic of Congo,Cuvette,,
626,51040000,Republic of Congo,Kouilou,,
627,51050000,Republic of Congo,Lékoumou,,
628,51060000,Republic of Congo,Likouala,,
629,51070000,Republic of Congo,Niari,,
630,51080000,Republic of Congo,Plateaux,,
631,51090000,Republic of Congo,Pointe Noire,,
632,51100000,Republic of Congo,Pool,,
633,51110000,Republic of Congo,Sangha,,
634,52000000,Democratic Republic of the Congo,Bas-Uélé,,
635,52010000,Democratic Republic of the Congo,Équateur,,
636,52020000,Democratic Republic of the Congo,Haut-Katanga,,
637,52030000,Democratic Republic of the Congo,Haut-Lomami,,
638,52040000,Democratic Republic of the Congo,Haut-Uélé,,
639,52050000,Democratic Republic of the Congo,Ituri,,
640,52060000,Democratic Republic of the Congo,Kasaï,,
641,52090000,Democratic Republic of the Congo,Kinshasa,,
642,52100000,Democratic Republic of the Congo,Kongo-Central,,
643,52110000,Democratic Republic of the Congo,Kwango,,
644,52120000,Democratic Republic of the Congo,Kwilu,,
645,52130000,Democratic Republic of the Congo,Lomami,,
646,52140000,Democratic Republic of the Congo,Lualaba,,
647,52150000,Democratic Republic of the Congo,Maï-Ndombe,,
648,52160000,Democratic Republic of the Congo,Maniema,,
649,52170000,Democratic Republic of the Congo,Mongala,,
650,52180000,Democratic Republic of the Congo,Nord-Kivu,,
651,52190000,Democratic Republic of the Congo,Nord-Ubangi,,
652,52200000,Democratic Republic of the Congo,Sankuru,,
653,52210000,Democratic Republic of the Congo,Sud-Kivu,,
654,52220000,Democratic Republic of the Congo,Sud-Ubangi,,
655,52230000,Democratic Republic of the Congo,Tanganyika,,
656,52240000,Democratic Republic of the Congo,Tshopo,,
657,52250000,Democratic Republic of the Congo,Tshuapa,,
658,54000000,Costa Rica,Alajuela,,
659,54010000,Costa Rica,Cartago,,
660,54020000,Costa Rica,Guanacaste,,
661,54030000,Costa Rica,Heredia,,
662,54040000,Costa Rica,Limón,,
663,54050000,Costa Rica,Puntarenas,,
664,54060000,Costa Rica,San José,,
665,55000000,Croatia,Bjelovarska-Bilogorska,,
666,55010000,Croatia,Brodsko-Posavska,,
667,55020000,Croatia,Dubrovacko-Neretvanska,,
668,55030000,Croatia,Grad Zagreb,,
669,55040000,Croatia,Istarska,,
670,55050000,Croatia,Karlovacka,,
671,55060000,Croatia,Koprivničko-Križevačka,,
672,55070000,Croatia,Krapinsko-Zagorska,,
673,55080000,Croatia,Licko-Senjska,,
674,55090000,Croatia,Medimurska,,
675,55100000,Croatia,Osjecko-Baranjska,,
676,55110000,Croatia,Požeško-Slavonska,,
677,55120000,Croatia,Primorsko-Goranska,,
678,55130000,Croatia,Šibensko-Kninska,,
679,55140000,Croatia,Sisacko-Moslavacka,,
680,55150000,Croatia,Splitsko-Dalmatinska,,
681,55160000,Croatia,Varaždinska,,
682,55170000,Croatia,Viroviticko-Podravska,,
683,55180000,Croatia,Vukovarsko-Srijemska,,
684,55190000,Croatia,Zadarska,,
685,55200000,Croatia,Zagrebačka,,
686,56000000,Cuba,Camagüey,,
