Lookup_type	ID	Human_value	extra_info
districtId	21	Quận Bắc Từ Liêm	
districtId	277	Huyện Chương Mỹ	
districtId	278	Huyện Thanh Oai	
districtId	279	Huyện Thường Tín	
districtId	280	Huyện Phú Xuyên	
districtId	281	Huyện Ứng Hòa	
districtId	282	Huyện Mỹ Đức	
districtId	250	Huyện Mê Linh	
districtId	32	Huyện Hoàng Su Phì	
districtId	33	Huyện Xín Mần	
districtId	34	Huyện Bắc Quang	
districtId	35	Huyện Quang Bình	
districtId	24	Thành phố Hà Giang	
districtId	26	Huyện Đồng Văn	
districtId	27	Huyện Mèo Vạc	
districtId	28	Huyện Yên Minh	
districtId	29	Huyện Quản Bạ	
districtId	30	Huyện Vị Xuyên	
districtId	31	Huyện Bắc Mê	
districtId	40	Thành phố Cao Bằng	
districtId	42	Huyện Bảo Lâm	
districtId	43	Huyện Bảo Lạc	
districtId	44	Huyện Thông Nông	
districtId	45	Huyện Hà Quảng	
districtId	46	Huyện Trà Lĩnh	
districtId	47	Huyện Trùng Khánh	
districtId	48	Huyện Hạ Lang	
districtId	49	Huyện Quảng Uyên	
districtId	50	Huyện Phục Hoà	
districtId	51	Huyện Hoà An	
districtId	52	Huyện Nguyên Bình	
districtId	53	Huyện Thạch An	
districtId	64	Huyện Chợ Đồn	
districtId	65	Huyện Chợ Mới	
districtId	66	Huyện Na Rì	
districtId	58	Thành Phố Bắc Kạn	
districtId	60	Huyện Pác Nặm	
districtId	61	Huyện Ba Bể	
districtId	62	Huyện Ngân Sơn	
districtId	63	Huyện Bạch Thông	
districtId	70	Thành phố Tuyên Quang	
districtId	71	Huyện Lâm Bình	
districtId	72	Huyện Nà Hang	
districtId	73	Huyện Chiêm Hóa	
districtId	74	Huyện Hàm Yên	
districtId	75	Huyện Yên Sơn	
districtId	76	Huyện Sơn Dương	
districtId	80	Thành phố Lào Cai	
districtId	82	Huyện Bát Xát	
districtId	83	Huyện Mường Khương	
districtId	84	Huyện Si Ma Cai	
districtId	85	Huyện Bắc Hà	
districtId	86	Huyện Bảo Thắng	
districtId	87	Huyện Bảo Yên	
districtId	88	Huyện Sa Pa	
districtId	89	Huyện Văn Bàn	
districtId	96	Huyện Mường Nhé	
districtId	97	Huyện Mường Chà	
districtId	98	Huyện Tủa Chùa	
districtId	99	Huyện Tuần Giáo	
districtId	100	Huyện Điện Biên	
districtId	101	Huyện Điện Biên Đông	
districtId	102	Huyện Mường Ảng	
districtId	103	Huyện Nậm Pồ	
districtId	94	Thành phố Điện Biên Phủ	
districtId	95	Thị Xã Mường Lay	
districtId	112	Huyện Nậm Nhùn	
districtId	105	Thành phố Lai Châu	
districtId	106	Huyện Tam Đường	
districtId	107	Huyện Mường Tè	
districtId	108	Huyện Sìn Hồ	
districtId	109	Huyện Phong Thổ	
districtId	110	Huyện Than Uyên	
districtId	111	Huyện Tân Uyên	
districtId	128	Huyện Vân Hồ	
districtId	116	Thành phố Sơn La	
districtId	118	Huyện Quỳnh Nhai	
districtId	119	Huyện Thuận Châu	
districtId	120	Huyện Mường La	
districtId	121	Huyện Bắc Yên	
districtId	122	Huyện Phù Yên	
districtId	123	Huyện Mộc Châu	
districtId	124	Huyện Yên Châu	
districtId	125	Huyện Mai Sơn	
districtId	126	Huyện Sông Mã	
districtId	127	Huyện Sốp Cộp	
districtId	132	Thành phố Yên Bái	
districtId	133	Thị xã Nghĩa Lộ	
districtId	135	Huyện Lục Yên	
districtId	136	Huyện Văn Yên	
districtId	137	Huyện Mù Căng Chải	
districtId	138	Huyện Trấn Yên	
districtId	139	Huyện Trạm Tấu	
districtId	140	Huyện Văn Chấn	
districtId	141	Huyện Yên Bình	
districtId	148	Thành phố Hòa Bình	
districtId	150	Huyện Đà Bắc	
districtId	151	Huyện Kỳ Sơn	
districtId	152	Huyện Lương Sơn	
districtId	153	Huyện Kim Bôi	
districtId	154	Huyện Cao Phong	
districtId	155	Huyện Tân Lạc	
districtId	156	Huyện Mai Châu	
districtId	157	Huyện Lạc Sơn	
districtId	158	Huyện Yên Thủy	
districtId	159	Huyện Lạc Thủy	
districtId	164	Thành phố Thái Nguyên	
districtId	165	Thành phố Sông Công	
districtId	167	Huyện Định Hóa	
districtId	168	Huyện Phú Lương	
districtId	169	Huyện Đồng Hỷ	
districtId	170	Huyện Võ Nhai	
districtId	171	Huyện Đại Từ	
districtId	172	Thị xã Phổ Yên	
districtId	173	Huyện Phú Bình	
districtId	178	Thành phố Lạng Sơn	
districtId	180	Huyện Tràng Định	
districtId	181	Huyện Bình Gia	
districtId	182	Huyện Văn Lãng	
districtId	183	Huyện Cao Lộc	
districtId	184	Huyện Văn Quan	
districtId	185	Huyện Bắc Sơn	
districtId	186	Huyện Hữu Lũng	
districtId	187	Huyện Chi Lăng	
districtId	188	Huyện Lộc Bình	
districtId	189	Huyện Đình Lập	
districtId	193	Thành phố Hạ Long	
districtId	194	Thành phố Móng Cái	
districtId	195	Thành phố Cẩm Phả	
districtId	196	Thành phố Uông Bí	
districtId	198	Huyện Bình Liêu	
districtId	199	Huyện Tiên Yên	
districtId	200	Huyện Đầm Hà	
districtId	201	Huyện Hải Hà	
districtId	202	Huyện Ba Chẽ	
districtId	203	Huyện Vân Đồn	
districtId	204	Huyện Hoành Bồ	
districtId	205	Thị xã Đông Triều	
districtId	206	Thị xã Quảng Yên	
districtId	207	Huyện Cô Tô	
districtId	213	Thành phố Bắc Giang	
districtId	215	Huyện Yên Thế	
districtId	216	Huyện Tân Yên	
districtId	217	Huyện Lạng Giang	
districtId	218	Huyện Lục Nam	
districtId	219	Huyện Lục Ngạn	
districtId	220	Huyện Sơn Động	
districtId	221	Huyện Yên Dũng	
districtId	222	Huyện Việt Yên	
districtId	223	Huyện Hiệp Hòa	
districtId	227	Thành phố Việt Trì	
districtId	228	Thị xã Phú Thọ	
districtId	230	Huyện Đoan Hùng	
districtId	231	Huyện Hạ Hoà	
districtId	232	Huyện Thanh Ba	
districtId	233	Huyện Phù Ninh	
districtId	234	Huyện Yên Lập	
districtId	235	Huyện Cẩm Khê	
districtId	236	Huyện Tam Nông	
districtId	237	Huyện Lâm Thao	
districtId	238	Huyện Thanh Sơn	
districtId	239	Huyện Thanh Thuỷ	
districtId	240	Huyện Tân Sơn	
districtId	243	Thành phố Vĩnh Yên	
districtId	244	Thị xã Phúc Yên	
districtId	246	Huyện Lập Thạch	
districtId	247	Huyện Tam Dương	
districtId	248	Huyện Tam Đảo	
districtId	249	Huyện Bình Xuyên	
districtId	251	Huyện Yên Lạc	
districtId	252	Huyện Vĩnh Tường	
districtId	253	Huyện Sông Lô	
districtId	256	Thành phố Bắc Ninh	
districtId	258	Huyện Yên Phong	
districtId	259	Huyện Quế Võ	
districtId	260	Huyện Tiên Du	
districtId	261	Thị xã Từ Sơn	
districtId	262	Huyện Thuận Thành	
districtId	263	Huyện Gia Bình	
districtId	264	Huyện Lương Tài	
districtId	288	Thành phố Hải Dương	
districtId	290	Thị xã Chí Linh	
districtId	291	Huyện Nam Sách	
districtId	292	Huyện Kinh Môn	
districtId	293	Huyện Kim Thành	
districtId	294	Huyện Thanh Hà	
districtId	295	Huyện Cẩm Giàng	
districtId	296	Huyện Bình Giang	
districtId	297	Huyện Gia Lộc	
districtId	298	Huyện Tứ Kỳ	
districtId	299	Huyện Ninh Giang	
districtId	300	Huyện Thanh Miện	
districtId	303	Quận Hồng Bàng	
districtId	304	Quận Ngô Quyền	
districtId	305	Quận Lê Chân	
districtId	306	Quận Hải An	
districtId	307	Quận Kiến An	
districtId	308	Quận Đồ Sơn	
districtId	309	Quận Dương Kinh	
districtId	311	Huyện Thuỷ Nguyên	
districtId	312	Huyện An Dương	
districtId	313	Huyện An Lão	
districtId	314	Huyện Kiến Thuỵ	
districtId	315	Huyện Tiên Lãng	
districtId	316	Huyện Vĩnh Bảo	
districtId	317	Huyện Cát Hải	
districtId	318	Huyện Bạch Long Vĩ	
districtId	323	Thành phố Hưng Yên	
districtId	325	Huyện Văn Lâm	
districtId	326	Huyện Văn Giang	
districtId	327	Huyện Yên Mỹ	
districtId	328	Huyện Mỹ Hào	
districtId	329	Huyện Ân Thi	
districtId	330	Huyện Khoái Châu	
districtId	331	Huyện Kim Động	
districtId	332	Huyện Tiên Lữ	
districtId	333	Huyện Phù Cừ	
districtId	336	Thành phố Thái Bình	
districtId	338	Huyện Quỳnh Phụ	
districtId	339	Huyện Hưng Hà	
districtId	340	Huyện Đông Hưng	
districtId	341	Huyện Thái Thụy	
districtId	342	Huyện Tiền Hải	
districtId	343	Huyện Kiến Xương	
districtId	344	Huyện Vũ Thư	
districtId	352	Huyện Bình Lục	
districtId	353	Huyện Lý Nhân	
districtId	347	Thành phố Phủ Lý	
districtId	349	Huyện Duy Tiên	
districtId	350	Huyện Kim Bảng	
districtId	351	Huyện Thanh Liêm	
districtId	356	Thành phố Nam Định	
districtId	358	Huyện Mỹ Lộc	
districtId	359	Huyện Vụ Bản	
districtId	360	Huyện Ý Yên	
districtId	361	Huyện Nghĩa Hưng	
districtId	362	Huyện Nam Trực	
districtId	363	Huyện Trực Ninh	
districtId	364	Huyện Xuân Trường	
districtId	365	Huyện Giao Thủy	
districtId	366	Huyện Hải Hậu	
districtId	369	Thành phố Ninh Bình	
districtId	370	Thành phố Tam Điệp	
districtId	372	Huyện Nho Quan	
districtId	373	Huyện Gia Viễn	
districtId	374	Huyện Hoa Lư	
districtId	375	Huyện Yên Khánh	
districtId	376	Huyện Kim Sơn	
districtId	377	Huyện Yên Mô	
districtId	384	Huyện Mường Lát	
districtId	385	Huyện Quan Hóa	
districtId	386	Huyện Bá Thước	
districtId	387	Huyện Quan Sơn	
districtId	388	Huyện Lang Chánh	
districtId	389	Huyện Ngọc Lặc	
districtId	390	Huyện Cẩm Thủy	
districtId	391	Huyện Thạch Thành	
districtId	392	Huyện Hà Trung	
districtId	393	Huyện Vĩnh Lộc	
districtId	394	Huyện Yên Định	
districtId	395	Huyện Thọ Xuân	
districtId	396	Huyện Thường Xuân	
districtId	397	Huyện Triệu Sơn	
districtId	398	Huyện Thiệu Hóa	
districtId	399	Huyện Hoằng Hóa	
districtId	400	Huyện Hậu Lộc	
districtId	401	Huyện Nga Sơn	
districtId	402	Huyện Như Xuân	
districtId	403	Huyện Như Thanh	
districtId	404	Huyện Nông Cống	
districtId	405	Huyện Đông Sơn	
districtId	406	Huyện Quảng Xương	
districtId	407	Huyện Tĩnh Gia	
districtId	380	Thành phố Thanh Hóa	
districtId	381	Thị xã Bỉm Sơn	
districtId	382	Thị xã Sầm Sơn	
districtId	416	Huyện Quỳ Châu	
districtId	417	Huyện Kỳ Sơn	
districtId	418	Huyện Tương Dương	
districtId	419	Huyện Nghĩa Đàn	
districtId	420	Huyện Quỳ Hợp	
districtId	421	Huyện Quỳnh Lưu	
districtId	422	Huyện Con Cuông	
districtId	423	Huyện Tân Kỳ	
districtId	424	Huyện Anh Sơn	
districtId	425	Huyện Diễn Châu	
districtId	426	Huyện Yên Thành	
districtId	427	Huyện Đô Lương	
districtId	428	Huyện Thanh Chương	
districtId	429	Huyện Nghi Lộc	
districtId	430	Huyện Nam Đàn	
districtId	431	Huyện Hưng Nguyên	
districtId	432	Thị xã Hoàng Mai	
districtId	412	Thành phố Vinh	
districtId	413	Thị xã Cửa Lò	
districtId	414	Thị xã Thái Hoà	
districtId	415	Huyện Quế Phong	
districtId	448	Huyện Lộc Hà	
districtId	449	Thị xã Kỳ Anh	
districtId	436	Thành phố Hà Tĩnh	
districtId	437	Thị xã Hồng Lĩnh	
districtId	439	Huyện Hương Sơn	
districtId	440	Huyện Đức Thọ	
districtId	441	Huyện Vũ Quang	
districtId	442	Huyện Nghi Xuân	
districtId	443	Huyện Can Lộc	
districtId	444	Huyện Hương Khê	
districtId	445	Huyện Thạch Hà	
districtId	446	Huyện Cẩm Xuyên	
districtId	447	Huyện Kỳ Anh	
districtId	450	Thành Phố Đồng Hới	
districtId	452	Huyện Minh Hóa	
districtId	453	Huyện Tuyên Hóa	
districtId	454	Huyện Quảng Trạch	
districtId	455	Huyện Bố Trạch	
districtId	456	Huyện Quảng Ninh	
districtId	457	Huyện Lệ Thủy	
districtId	458	Thị xã Ba Đồn	
districtId	464	Huyện Vĩnh Linh	
districtId	465	Huyện Hướng Hóa	
districtId	466	Huyện Gio Linh	
districtId	467	Huyện Đa Krông	
districtId	468	Huyện Cam Lộ	
districtId	469	Huyện Triệu Phong	
districtId	470	Huyện Hải Lăng	
districtId	471	Huyện Cồn Cỏ	
districtId	461	Thành phố Đông Hà	
districtId	462	Thị xã Quảng Trị	
districtId	480	Thị xã Hương Trà	
districtId	481	Huyện A Lưới	
districtId	482	Huyện Phú Lộc	
districtId	483	Huyện Nam Đông	
districtId	474	Thành phố Huế	
districtId	476	Huyện Phong Điền	
districtId	477	Huyện Quảng Điền	
districtId	478	Huyện Phú Vang	
districtId	479	Thị xã Hương Thủy	
districtId	497	Huyện Hòa Vang	
districtId	498	Huyện Hoàng Sa	
districtId	490	Quận Liên Chiểu	
districtId	491	Quận Thanh Khê	
districtId	492	Quận Hải Châu	
districtId	493	Quận Sơn Trà	
districtId	494	Quận Ngũ Hành Sơn	
districtId	495	Quận Cẩm Lệ	
districtId	512	Huyện Hiệp Đức	
districtId	513	Huyện Thăng Bình	
districtId	514	Huyện Tiên Phước	
districtId	515	Huyện Bắc Trà My	
districtId	516	Huyện Nam Trà My	
districtId	517	Huyện Núi Thành	
districtId	518	Huyện Phú Ninh	
districtId	519	Huyện Nông Sơn	
districtId	502	Thành phố Tam Kỳ	
districtId	503	Thành phố Hội An	
districtId	504	Huyện Tây Giang	
districtId	505	Huyện Đông Giang	
districtId	506	Huyện Đại Lộc	
districtId	507	Thị xã Điện Bàn	
districtId	508	Huyện Duy Xuyên	
districtId	509	Huyện Quế Sơn	
districtId	510	Huyện Nam Giang	
districtId	511	Huyện Phước Sơn	
districtId	522	Thành phố Quảng Ngãi	
districtId	524	Huyện Bình Sơn	
districtId	525	Huyện Trà Bồng	
districtId	526	Huyện Tây Trà	
districtId	527	Huyện Sơn Tịnh	
districtId	528	Huyện Tư Nghĩa	
districtId	529	Huyện Sơn Hà	
districtId	530	Huyện Sơn Tây	
districtId	531	Huyện Minh Long	
districtId	532	Huyện Nghĩa Hành	
districtId	533	Huyện Mộ Đức	
districtId	534	Huyện Đức Phổ	
districtId	535	Huyện Ba Tơ	
districtId	536	Huyện Lý Sơn	
districtId	544	Huyện Hoài Ân	
districtId	545	Huyện Phù Mỹ	
districtId	546	Huyện Vĩnh Thạnh	
districtId	547	Huyện Tây Sơn	
districtId	548	Huyện Phù Cát	
districtId	549	Thị xã An Nhơn	
districtId	550	Huyện Tuy Phước	
districtId	551	Huyện Vân Canh	
districtId	540	Thành phố Qui Nhơn	
districtId	542	Huyện An Lão	
districtId	543	Huyện Hoài Nhơn	
districtId	560	Huyện Sơn Hòa	
districtId	561	Huyện Sông Hinh	
districtId	562	Huyện Tây Hoà	
districtId	563	Huyện Phú Hoà	
districtId	564	Huyện Đông Hòa	
districtId	555	Thành phố Tuy Hoà	
districtId	557	Thị xã Sông Cầu	
districtId	558	Huyện Đồng Xuân	
districtId	559	Huyện Tuy An	
districtId	576	Huyện Trường Sa	
districtId	568	Thành phố Nha Trang	
districtId	569	Thành phố Cam Ranh	
districtId	570	Huyện Cam Lâm	
districtId	571	Huyện Vạn Ninh	
districtId	572	Thị xã Ninh Hòa	
districtId	573	Huyện Khánh Vĩnh	
districtId	574	Huyện Diên Khánh	
districtId	575	Huyện Khánh Sơn	
districtId	582	Thành phố Phan Rang-Tháp Chàm	
districtId	584	Huyện Bác Ái	
districtId	585	Huyện Ninh Sơn	
districtId	586	Huyện Ninh Hải	
districtId	587	Huyện Ninh Phước	
districtId	588	Huyện Thuận Bắc	
districtId	589	Huyện Thuận Nam	
districtId	593	Thành phố Phan Thiết	
districtId	594	Thị xã La Gi	
districtId	595	Huyện Tuy Phong	
districtId	596	Huyện Bắc Bình	
districtId	597	Huyện Hàm Thuận Bắc	
districtId	598	Huyện Hàm Thuận Nam	
districtId	599	Huyện Tánh Linh	
districtId	600	Huyện Đức Linh	
districtId	601	Huyện Hàm Tân	
districtId	602	Huyện Phú Quí	
districtId	608	Thành phố Kon Tum	
districtId	610	Huyện Đắk Glei	
districtId	611	Huyện Ngọc Hồi	
districtId	612	Huyện Đắk Tô	
districtId	613	Huyện Kon Plông	
districtId	614	Huyện Kon Rẫy	
districtId	615	Huyện Đắk Hà	
districtId	616	Huyện Sa Thầy	
districtId	617	Huyện Tu Mơ Rông	
districtId	618	Huyện Ia H' Drai	
districtId	622	Thành phố Pleiku	
districtId	623	Thị xã An Khê	
districtId	624	Thị xã Ayun Pa	
districtId	625	Huyện KBang	
districtId	626	Huyện Đăk Đoa	
districtId	627	Huyện Chư Păh	
districtId	628	Huyện Ia Grai	
districtId	629	Huyện Mang Yang	
districtId	630	Huyện Kông Chro	
districtId	631	Huyện Đức Cơ	
districtId	632	Huyện Chư Prông	
districtId	633	Huyện Chư Sê	
districtId	634	Huyện Đăk Pơ	
districtId	635	Huyện Ia Pa	
districtId	637	Huyện Krông Pa	
districtId	638	Huyện Phú Thiện	
districtId	639	Huyện Chư Pưh	
districtId	643	Thành phố Buôn Ma Thuột	
districtId	644	Thị Xã Buôn Hồ	
districtId	645	Huyện Ea H'leo	
districtId	646	Huyện Ea Súp	
districtId	647	Huyện Buôn Đôn	
districtId	648	Huyện Cư M'gar	
districtId	649	Huyện Krông Búk	
districtId	650	Huyện Krông Năng	
districtId	651	Huyện Ea Kar	
districtId	652	Huyện M'Đrắk	
districtId	653	Huyện Krông Bông	
districtId	654	Huyện Krông Pắc	
districtId	655	Huyện Krông A Na	
districtId	656	Huyện Lắk	
districtId	657	Huyện Cư Kuin	
districtId	660	Thị xã Gia Nghĩa	
districtId	661	Huyện Đăk Glong	
districtId	662	Huyện Cư Jút	
districtId	663	Huyện Đắk Mil	
districtId	664	Huyện Krông Nô	
districtId	665	Huyện Đắk Song	
districtId	666	Huyện Đắk R'Lấp	
districtId	667	Huyện Tuy Đức	
districtId	672	Thành phố Đà Lạt	
districtId	673	Thành phố Bảo Lộc	
districtId	674	Huyện Đam Rông	
districtId	675	Huyện Lạc Dương	
districtId	676	Huyện Lâm Hà	
districtId	677	Huyện Đơn Dương	
districtId	678	Huyện Đức Trọng	
districtId	679	Huyện Di Linh	
districtId	680	Huyện Bảo Lâm	
districtId	681	Huyện Đạ Huoai	
districtId	682	Huyện Đạ Tẻh	
districtId	683	Huyện Cát Tiên	
districtId	688	Thị xã Phước Long	
districtId	689	Thị xã Đồng Xoài	
districtId	690	Thị xã Bình Long	
districtId	691	Huyện Bù Gia Mập	
districtId	692	Huyện Lộc Ninh	
districtId	693	Huyện Bù Đốp	
districtId	694	Huyện Hớn Quản	
districtId	695	Huyện Đồng Phú	
districtId	696	Huyện Bù Đăng	
districtId	697	Huyện Chơn Thành	
districtId	698	Huyện Phú Riềng	
districtId	705	Huyện Tân Biên	
districtId	706	Huyện Tân Châu	
districtId	707	Huyện Dương Minh Châu	
districtId	708	Huyện Châu Thành	
districtId	709	Huyện Hòa Thành	
districtId	710	Huyện Gò Dầu	
districtId	711	Huyện Bến Cầu	
districtId	712	Huyện Trảng Bàng	
districtId	703	Thành phố Tây Ninh	
districtId	720	Huyện Dầu Tiếng	
districtId	721	Thị xã Bến Cát	
districtId	722	Huyện Phú Giáo	
districtId	723	Thị xã Tân Uyên	
districtId	724	Thị xã Dĩ An	
districtId	725	Thị xã Thuận An	
districtId	726	Huyện Bắc Tân Uyên	
districtId	718	Thành phố Thủ Dầu Một	
districtId	719	Huyện Bàu Bàng	
districtId	736	Huyện Định Quán	
districtId	737	Huyện Trảng Bom	
districtId	738	Huyện Thống Nhất	
districtId	739	Huyện Cẩm Mỹ	
districtId	740	Huyện Long Thành	
districtId	741	Huyện Xuân Lộc	
districtId	742	Huyện Nhơn Trạch	
districtId	731	Thành phố Biên Hòa	
districtId	732	Thành phố Long Khánh	
districtId	734	Huyện Tân Phú	
districtId	735	Huyện Vĩnh Cửu	
districtId	752	Huyện Long Điền	
districtId	753	Huyện Đất Đỏ	
districtId	754	Huyện Tân Thành	
districtId	755	Huyện Côn Đảo	
districtId	747	Thành phố Vũng Tàu	
districtId	748	Thành phố Bà Rịa	
districtId	750	Huyện Châu Đức	
districtId	751	Huyện Xuyên Mộc	
districtId	768	Quận Phú Nhuận	
districtId	769	Quận 2	
districtId	770	Quận 3	
districtId	771	Quận 10	
districtId	772	Quận 11	
districtId	773	Quận 4	
districtId	774	Quận 5	
districtId	775	Quận 6	
districtId	776	Quận 8	
districtId	777	Quận Bình Tân	
districtId	778	Quận 7	
districtId	783	Huyện Củ Chi	
districtId	784	Huyện Hóc Môn	
districtId	785	Huyện Bình Chánh	
districtId	786	Huyện Nhà Bè	
districtId	787	Huyện Cần Giờ	
districtId	760	Quận 1	
districtId	761	Quận 12	
districtId	762	Thành phố Thủ Đức	
districtId	763	Quận 9	
districtId	764	Quận Gò Vấp	
districtId	765	Quận Bình Thạnh	
districtId	766	Quận Tân Bình	
districtId	767	Quận Tân Phú	
districtId	800	Huyện Thạnh Hóa	
districtId	801	Huyện Đức Huệ	
districtId	802	Huyện Đức Hòa	
districtId	803	Huyện Bến Lức	
districtId	804	Huyện Thủ Thừa	
districtId	805	Huyện Tân Trụ	
districtId	806	Huyện Cần Đước	
districtId	807	Huyện Cần Giuộc	
districtId	808	Huyện Châu Thành	
districtId	794	Thành phố Tân An	
districtId	795	Thị xã Kiến Tường	
districtId	796	Huyện Tân Hưng	
districtId	797	Huyện Vĩnh Hưng	
districtId	798	Huyện Mộc Hóa	
districtId	799	Huyện Tân Thạnh	
districtId	816	Thị xã Gò Công	
districtId	817	Thị xã Cai Lậy	
districtId	818	Huyện Tân Phước	
districtId	819	Huyện Cái Bè	
districtId	820	Huyện Cai Lậy	
districtId	821	Huyện Châu Thành	
districtId	822	Huyện Chợ Gạo	
districtId	823	Huyện Gò Công Tây	
districtId	824	Huyện Gò Công Đông	
districtId	825	Huyện Tân Phú Đông	
districtId	815	Thành phố Mỹ Tho	
districtId	832	Huyện Chợ Lách	
districtId	833	Huyện Mỏ Cày Nam	
districtId	834	Huyện Giồng Trôm	
districtId	835	Huyện Bình Đại	
districtId	836	Huyện Ba Tri	
districtId	837	Huyện Thạnh Phú	
districtId	838	Huyện Mỏ Cày Bắc	
districtId	829	Thành phố Bến Tre	
districtId	831	Huyện Châu Thành	
districtId	848	Huyện Cầu Ngang	
districtId	849	Huyện Trà Cú	
districtId	850	Huyện Duyên Hải	
districtId	851	Thị xã Duyên Hải	
districtId	842	Thành phố Trà Vinh	
districtId	844	Huyện Càng Long	
districtId	845	Huyện Cầu Kè	
districtId	846	Huyện Tiểu Cần	
districtId	847	Huyện Châu Thành	
districtId	855	Thành phố Vĩnh Long	
districtId	857	Huyện Long Hồ	
districtId	858	Huyện Mang Thít	
districtId	859	Huyện Vũng Liêm	
districtId	860	Huyện Tam Bình	
districtId	861	Thị xã Bình Minh	
districtId	862	Huyện Trà Ôn	
districtId	863	Huyện Bình Tân	
districtId	866	Thành phố Cao Lãnh	
districtId	867	Thành phố Sa Đéc	
districtId	868	Thị xã Hồng Ngự	
districtId	869	Huyện Tân Hồng	
districtId	870	Huyện Hồng Ngự	
districtId	871	Huyện Tam Nông	
districtId	872	Huyện Tháp Mười	
districtId	873	Huyện Cao Lãnh	
districtId	874	Huyện Thanh Bình	
districtId	875	Huyện Lấp Vò	
districtId	876	Huyện Lai Vung	
districtId	877	Huyện Châu Thành	
districtId	883	Thành phố Long Xuyên	
districtId	884	Thành phố Châu Đốc	
districtId	886	Huyện An Phú	
districtId	887	Thị xã Tân Châu	
districtId	888	Huyện Phú Tân	
districtId	889	Huyện Châu Phú	
